sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,T05R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T05P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV06,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T06R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T06P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV08,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,T08R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,T08P,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV09,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV10,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV11,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T11R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T11P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV12,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV13,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T13R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T13P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV14,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV15,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,DSL1,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,DSR1,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,DSP1,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX33,LNP,MNP_Portout
dbx:CerillionBahamasOracle,FX34,LNP,MNP_Portout
dbx:CerillionBahamasOracle,FE05,LNP,MNP_Portout
dbx:CerillionBahamasOracle,PD03,LNP,MNP_Portout
dbx:CerillionBahamasOracle,BB14,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB54,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB17,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX03,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX04,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX06,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PW01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX16,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB16,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B20R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX21,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,F21R,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,F21P,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB21,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,V21R,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,V21P,Transfer,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX22,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F22R,Change,WorkOrder_Flow
